Sensor_ID,Address,ID,date,PM25
86533,Clifton Spring Manor,1,01/10/2021,35
86533,Clifton Spring Manor,1,02/10/2021,31
86533,Clifton Spring Manor,1,03/10/2021,24
86533,Clifton Spring Manor,1,04/10/2021,10
86533,Clifton Spring Manor,1,05/10/2021,6
86533,Clifton Spring Manor,1,06/10/2021,6
86533,Clifton Spring Manor,1,07/10/2021,6
86533,Clifton Spring Manor,1,08/10/2021,7
86533,Clifton Spring Manor,1,09/10/2021,10
86533,Clifton Spring Manor,1,10/10/2021,12
86533,Clifton Spring Manor,1,11/10/2021,11
86533,Clifton Spring Manor,1,12/10/2021,16
86533,Clifton Spring Manor,1,13/10/2021,20
86533,Clifton Spring Manor,1,14/10/2021,24
86533,Clifton Spring Manor,1,15/10/2021,25
86533,Clifton Spring Manor,1,16/10/2021,13
86533,Clifton Spring Manor,1,17/10/2021,4
86533,Clifton Spring Manor,1,18/10/2021,6
86533,Clifton Spring Manor,1,19/10/2021,16
86533,Clifton Spring Manor,1,20/10/2021,21
86533,Clifton Spring Manor,1,21/10/2021,20
86533,Clifton Spring Manor,1,22/10/2021,12
86533,Clifton Spring Manor,1,23/10/2021,12
86533,Clifton Spring Manor,1,24/10/2021,23
86533,Clifton Spring Manor,1,25/10/2021,17
86533,Clifton Spring Manor,1,26/10/2021,2
86533,Clifton Spring Manor,1,27/10/2021,8
86533,Clifton Spring Manor,1,28/10/2021,12
86533,Clifton Spring Manor,1,29/10/2021,5
86533,Clifton Spring Manor,1,30/10/2021,3
86533,Clifton Spring Manor,1,31/10/2021,6
86535,Clifton Spring Manor,3,01/10/2021,34
86535,Clifton Spring Manor,3,02/10/2021,30
86535,Clifton Spring Manor,3,03/10/2021,23
86535,Clifton Spring Manor,3,04/10/2021,9
86535,Clifton Spring Manor,3,05/10/2021,6
86535,Clifton Spring Manor,3,06/10/2021,5
86535,Clifton Spring Manor,3,07/10/2021,5
86535,Clifton Spring Manor,3,08/10/2021,6
86535,Clifton Spring Manor,3,09/10/2021,10
86535,Clifton Spring Manor,3,10/10/2021,12
86535,Clifton Spring Manor,3,11/10/2021,11
