Sensor_ID,Name,ID,PM25_Sep,PM25_Oct
86533,Clifton Spring Manor,1,16,15
86534,Clifton Spring Manor,8,18,17
86535,Clifton Spring Manor,3,15,14
86536,Clifton Spring Manor,4,12,12
86537,Clifton Spring Manor,5,14,13
86538,Clifton Spring Manor,6,15,14
86539,Clifton Spring Manor,7,13,12
86540,Wildcat Road,2,15,14
